...1,libido,pseudo,anxiety,age,cognition,time,userID,other,motivation,mood,permanent_favorite_noot,gender,focus
14,"Yes, a major reason",default,"Yes, a major reason",27,"Yes, a minor reason",1638286482.9664016,74751581,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
15,Not at all a reason,default,"Yes, a major reason",30,"Yes, a minor reason",1638625214.3588574,21917246,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
16,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1642292666.9989126,18133782,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
17,NA,default,"Yes, a major reason",25,"Yes, a major reason",1638235165.0139208,68062744,NA,"Yes, a minor reason","Yes, a minor reason",SR9009,Male,"Yes, a minor reason"
18,NA,default,"Yes, a minor reason",41,"Yes, a major reason",1638263136.2524428,43453551,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
19,Not at all a reason,default,Not at all a reason,40,"Yes, a major reason",1642339667.2467463,48595531,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
20,Not at all a reason,default,"Yes, a major reason",21,Not at all a reason,1638335280.917575,77478151,NA,"Yes, a major reason","Yes, a minor reason",NA,Female,"Yes, a major reason"
21,"Yes, a major reason",default,"Yes, a major reason",23,"Yes, a major reason",1638487414.3639383,68752534,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
22,NA,default,"Yes, a minor reason",36,"Yes, a major reason",1638241722.3620362,9365693,NA,Not at all a reason,"Yes, a major reason",NA,Male,"Yes, a major reason"
23,Not at all a reason,default,"Yes, a major reason",19,"Yes, a major reason",1642289055.881508,89532528,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
24,Not at all a reason,default,"Yes, a major reason",0,"Yes, a minor reason",1638462731.694833,30414366,NA,"Yes, a major reason","Yes, a major reason",NA,-,"Yes, a major reason"
25,Not at all a reason,default,Not at all a reason,31,"Yes, a major reason",1642347928.1209269,4193762,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
26,NA,default,Not at all a reason,36,"Yes, a major reason",1638241556.6877277,64319475,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a major reason"
27,"Yes, a major reason",default,Not at all a reason,35,Not at all a reason,1642305820.1352928,71017829,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
28,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1642304551.125714,58921525,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
29,Not at all a reason,default,Not at all a reason,37,"Yes, a major reason",1642391784.5347917,38005092,NA,"Yes, a minor reason",Not at all a reason,NA,Male,Not at all a reason
30,Not at all a reason,default,Not at all a reason,20,"Yes, a minor reason",1642377438.0481937,67034681,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
31,Not at all a reason,default,"Yes, a minor reason",0,"Yes, a major reason",1638330569.3602035,69546660,NA,"Yes, a minor reason",Not at all a reason,NA,-,"Yes, a major reason"
32,NA,default,Not at all a reason,56,Not at all a reason,1637590833.1339529,51290853,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a minor reason"
33,Not at all a reason,default,Not at all a reason,22,Not at all a reason,1642310740.1002803,9698344,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
34,NA,default,Not at all a reason,36,"Yes, a major reason",1638249455.0304704,54571140,NA,"Yes, a major reason",Not at all a reason,Phenylpiracetam,Male,"Yes, a major reason"
35,NA,default,Not at all a reason,0,Not at all a reason,1638198940.294418,25219569,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
36,Not at all a reason,default,Not at all a reason,42,Not at all a reason,1642299316.5831318,32278622,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
37,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638309266.6227205,21507959,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
38,NA,default,Not at all a reason,0,Not at all a reason,1637692509.8249822,75990144,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
39,"Yes, a minor reason",default,"Yes, a minor reason",15,"Yes, a major reason",1638457398.0722427,99435405,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,Not at all a reason
40,Not at all a reason,default,"Yes, a minor reason",27,"Yes, a minor reason",1638278039.326301,10419759,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
41,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638817653.8362346,16421609,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
42,"Yes, a minor reason",default,"Yes, a major reason",20,"Yes, a major reason",1638285664.4480488,25950006,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
43,Not at all a reason,default,"Yes, a major reason",28,"Yes, a minor reason",1642339495.190291,28478434,NA,"Yes, a major reason","Yes, a major reason",NA,Female,"Yes, a major reason"
44,Not at all a reason,default,Not at all a reason,46,"Yes, a major reason",1642312024.6556964,7396315,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a minor reason"
45,Not at all a reason,default,"Yes, a minor reason",27,"Yes, a major reason",1639091802.2043643,99618479,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
46,"Yes, a minor reason",default,Not at all a reason,19,"Yes, a major reason",1640567241.399475,1253827,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
47,Not at all a reason,default,Not at all a reason,38,Not at all a reason,1642295382.5667453,231738,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
48,"Yes, a minor reason",default,Not at all a reason,31,"Yes, a major reason",1638308630.991394,70314299,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
49,Not at all a reason,default,"Yes, a minor reason",0,"Yes, a minor reason",1642337085.5482745,40258733,NA,"Yes, a major reason","Yes, a minor reason",NA,-,"Yes, a major reason"
50,Not at all a reason,default,Not at all a reason,18,Not at all a reason,1642370752.0042694,20697867,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
51,NA,default,"Yes, a major reason",22,Not at all a reason,1638254944.0471554,21788152,NA,Not at all a reason,"Yes, a minor reason",NA,Male,"Yes, a major reason"
52,Not at all a reason,default,"Yes, a major reason",32,"Yes, a minor reason",1638404167.762756,59714489,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
53,Not at all a reason,default,"Yes, a minor reason",30,"Yes, a minor reason",1642337879.2574406,41308214,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a minor reason"
54,Not at all a reason,default,"Yes, a major reason",0,Not at all a reason,1638335261.2853365,77478151,NA,"Yes, a major reason","Yes, a minor reason",NA,-,"Yes, a major reason"
55,Not at all a reason,default,"Yes, a minor reason",25,"Yes, a major reason",1638315953.1079595,75136897,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
56,Not at all a reason,default,Not at all a reason,20,Not at all a reason,1642314944.4334018,49825993,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
57,Not at all a reason,default,Not at all a reason,30,"Yes, a minor reason",1642321935.386795,14908966,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
58,NA,default,"Yes, a minor reason",30,"Yes, a major reason",1638228019.6408298,18140812,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
59,Not at all a reason,default,"Yes, a major reason",19,"Yes, a major reason",1638375371.2308726,12768015,NA,"Yes, a minor reason","Yes, a minor reason","LSD (full dose), if SSRIs and SNRIs count, then mirtazapine and buspirone should also be there",Male,"Yes, a major reason"
60,Not at all a reason,default,"Yes, a major reason",23,"Yes, a major reason",1638275468.7938075,14448509,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
61,NA,default,"Yes, a minor reason",25,"Yes, a minor reason",1638236574.9738696,10359991,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
62,Not at all a reason,default,"Yes, a major reason",0,"Yes, a major reason",1638410263.8073635,94911347,NA,"Yes, a major reason","Yes, a major reason",NA,-,"Yes, a major reason"
63,NA,default,"Yes, a minor reason",21,"Yes, a major reason",1638241906.4852278,66505085,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
64,NA,default,"Yes, a minor reason",23,"Yes, a minor reason",1637850359.635548,29470037,NA,"Yes, a minor reason","Yes, a minor reason",Test,Male,"Yes, a minor reason"
65,Not at all a reason,default,"Yes, a major reason",30,"Yes, a minor reason",1638410285.5233867,22321525,NA,Not at all a reason,"Yes, a major reason",NA,Male,"Yes, a minor reason"
66,Not at all a reason,default,Not at all a reason,-2,Not at all a reason,1642322129.7910628,26620692,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a major reason"
67,Not at all a reason,default,"Yes, a minor reason",30,"Yes, a minor reason",1642344206.266927,67543432,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
68,NA,default,"Yes, a major reason",36,"Yes, a major reason",1638227669.62107,43017166,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
69,NA,default,Not at all a reason,30,"Yes, a major reason",1638250599.5799286,28308697,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a major reason"
70,NA,default,"Yes, a major reason",20,"Yes, a major reason",1638236824.2047071,94657191,NA,"Yes, a major reason","Yes, a major reason",NA,Male,Not at all a reason
71,Not at all a reason,default,Not at all a reason,27,Not at all a reason,1642344351.948998,92088429,NA,"Yes, a minor reason","Yes, a minor reason",Cannabis,Male,Not at all a reason
72,NA,default,"Yes, a minor reason",31,"Yes, a major reason",1638242519.626418,43732045,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
73,Not at all a reason,default,Not at all a reason,27,Not at all a reason,1642431659.562349,73876504,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
74,Not at all a reason,default,"Yes, a major reason",24,"Yes, a major reason",1638275276.2465184,38933411,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
75,Not at all a reason,default,"Yes, a minor reason",34,"Yes, a minor reason",1642339580.6418622,11805579,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
76,Not at all a reason,default,Not at all a reason,24,Not at all a reason,1639394765.367455,16421609,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
77,Not at all a reason,default,"Yes, a minor reason",25,"Yes, a major reason",1640096302.6453512,82047179,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
78,Not at all a reason,default,Not at all a reason,26,"Yes, a major reason",1639350850.5091136,25375994,NA,"Yes, a major reason",Not at all a reason,NA,Female,"Yes, a major reason"
79,NA,default,"Yes, a minor reason",52,"Yes, a major reason",1638225299.6392925,66103853,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
80,Not at all a reason,default,"Yes, a major reason",21,"Yes, a major reason",1638382043.2214935,97975569,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
81,Not at all a reason,default,"Yes, a major reason",27,"Yes, a minor reason",1638373696.9159677,5804326,Depression,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
82,Not at all a reason,default,Not at all a reason,27,"Yes, a major reason",1642326140.3987234,22281469,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
83,Not at all a reason,default,"Yes, a minor reason",42,"Yes, a major reason",1642314987.879244,28034480,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
84,"Yes, a minor reason",default,"Yes, a major reason",31,"Yes, a major reason",1638273864.5420156,86992186,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
85,Not at all a reason,default,"Yes, a minor reason",20,"Yes, a minor reason",1638301647.1552072,77046432,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
86,Not at all a reason,default,Not at all a reason,35,"Yes, a major reason",1642295617.465006,19685073,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a minor reason"
87,Not at all a reason,default,Not at all a reason,29,"Yes, a major reason",1638420089.1432817,36930610,High performance career,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
88,NA,default,Not at all a reason,23,"Yes, a major reason",1638252109.6078885,32693918,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
89,"Yes, a major reason",default,"Yes, a major reason",37,"Yes, a major reason",1639985403.547094,36948794,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a major reason"
90,Not at all a reason,default,Not at all a reason,0,"Yes, a minor reason",1642310279.4276338,65468913,NA,"Yes, a major reason",Not at all a reason,NA,-,"Yes, a major reason"
91,NA,default,Not at all a reason,0,Not at all a reason,1637851812.3701508,54355146,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
92,Not at all a reason,default,Not at all a reason,22,"Yes, a major reason",1642320640.199693,27853433,im gay,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
93,NA,default,Not at all a reason,28,"Yes, a major reason",1638243344.5721538,96642686,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
94,Not at all a reason,default,Not at all a reason,24,"Yes, a minor reason",1642325802.0963218,15805825,fun,"Yes, a minor reason",Not at all a reason,vyvanse,Male,"Yes, a minor reason"
95,NA,default,Not at all a reason,23,Not at all a reason,1638223387.9201474,3133122,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a minor reason"
96,Not at all a reason,default,"Yes, a minor reason",21,"Yes, a major reason",1638300159.8084338,39411209,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
97,Not at all a reason,default,"Yes, a major reason",30,"Yes, a major reason",1638385889.5782683,8916596,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
98,Not at all a reason,default,"Yes, a major reason",27,"Yes, a major reason",1638292533.794665,26446128,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
99,Not at all a reason,default,"Yes, a major reason",26,"Yes, a major reason",1642323820.6381657,6897858,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
100,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638873977.9756467,16421609,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
101,Not at all a reason,default,"Yes, a minor reason",35,"Yes, a minor reason",1642316605.2255232,89446304,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
102,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638414578.750605,10065616,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
103,Not at all a reason,default,Not at all a reason,38,"Yes, a major reason",1642307950.5498977,74331285,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
104,"Yes, a minor reason",default,Not at all a reason,32,"Yes, a minor reason",1638274621.9335194,88873597,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
105,"Yes, a major reason",default,"Yes, a minor reason",34,"Yes, a minor reason",1639092817.6048746,65416394,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
106,Not at all a reason,default,Not at all a reason,21,"Yes, a minor reason",1642376449.3969443,69530877,NA,"Yes, a major reason","Yes, a major reason","I like bupropion, helped me get the motivation to develop an exercise and meditation habit",Male,"Yes, a major reason"
107,Not at all a reason,default,Not at all a reason,18,Not at all a reason,1642453710.6750531,88418036,NA,Not at all a reason,Not at all a reason,NA,Female,Not at all a reason
108,"Yes, a minor reason",default,"Yes, a major reason",29,"Yes, a major reason",1638282839.3799272,63963260,Energy,"Yes, a major reason","Yes, a major reason",NA,Other,"Yes, a major reason"
109,NA,default,"Yes, a minor reason",0,"Yes, a major reason",1638223479.3811584,69364865,NA,Not at all a reason,"Yes, a major reason",NA,-,"Yes, a major reason"
110,NA,default,"Yes, a major reason",38,"Yes, a minor reason",1638227979.666564,48319607,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
111,Not at all a reason,default,Not at all a reason,27,"Yes, a major reason",1642331901.0626986,82116527,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
112,Not at all a reason,default,Not at all a reason,30,"Yes, a major reason",1642304918.19937,30574952,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
113,Not at all a reason,default,Not at all a reason,25,"Yes, a major reason",1638459462.0072703,2068618,Limitless,"Yes, a major reason","Yes, a major reason",Yes,Other,"Yes, a major reason"
114,"Yes, a major reason",default,"Yes, a major reason",32,"Yes, a minor reason",1642309659.6321976,24628794,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
115,Not at all a reason,default,"Yes, a minor reason",25,"Yes, a major reason",1638291545.7656944,87490432,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
116,Not at all a reason,default,Not at all a reason,33,"Yes, a minor reason",1642299361.1649494,17119528,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
117,NA,default,"Yes, a minor reason",0,"Yes, a major reason",1638256486.7252965,80665667,NA,"Yes, a major reason","Yes, a major reason",NA,-,"Yes, a major reason"
118,Not at all a reason,default,"Yes, a major reason",21,"Yes, a minor reason",1638673025.2329175,12676454,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,Not at all a reason
119,NA,default,"Yes, a minor reason",57,"Yes, a major reason",1638269679.8985996,95553956,NA,"Yes, a major reason","Yes, a minor reason",NA,Female,"Yes, a major reason"
120,"Yes, a minor reason",default,"Yes, a minor reason",32,"Yes, a major reason",1642373877.9395046,52000078,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
121,Not at all a reason,default,Not at all a reason,27,Not at all a reason,1642291361.7187762,29240727,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
122,NA,default,"Yes, a minor reason",21,"Yes, a major reason",1638250896.6847148,34749156,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
123,NA,default,Not at all a reason,30,"Yes, a major reason",1638241798.3685136,50890838,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
124,NA,default,Not at all a reason,0,Not at all a reason,1637687816.8806,91601450,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
125,"Yes, a minor reason",default,Not at all a reason,30,"Yes, a major reason",1642319781.583119,21167959,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
126,"Yes, a minor reason",default,Not at all a reason,32,"Yes, a minor reason",1642306941.5585682,17488499,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
127,Not at all a reason,default,Not at all a reason,19,"Yes, a major reason",1638291346.0333176,58386162,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
128,Not at all a reason,default,"Yes, a minor reason",38,"Yes, a minor reason",1642289471.1168735,85407864,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
129,Not at all a reason,default,"Yes, a major reason",20,"Yes, a minor reason",1642339991.6138048,34925141,NA,"Yes, a major reason","Yes, a major reason",NA,Female,"Yes, a minor reason"
130,Not at all a reason,default,"Yes, a major reason",28,"Yes, a major reason",1638287057.8820815,12857099,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
131,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638425987.3811588,55949124,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
132,Not at all a reason,default,Not at all a reason,20,"Yes, a major reason",1638544358.1386297,52559119,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a major reason"
133,Not at all a reason,default,"Yes, a major reason",36,"Yes, a minor reason",1642382323.130619,80126447,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
134,Not at all a reason,default,"Yes, a major reason",45,Not at all a reason,1642306707.859552,16618941,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
135,Not at all a reason,default,Not at all a reason,23,Not at all a reason,1642294231.665341,76090640,NA,Not at all a reason,"Yes, a minor reason",NA,Male,"Yes, a minor reason"
136,"Yes, a minor reason",default,"Yes, a minor reason",24,"Yes, a minor reason",1642304976.1374576,33686984,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
137,Not at all a reason,default,"Yes, a minor reason",32,"Yes, a minor reason",1638286768.1961334,51825539,NA,"Yes, a major reason","Yes, a major reason",NA,Female,"Yes, a major reason"
138,Not at all a reason,default,Not at all a reason,23,"Yes, a major reason",1642381879.5722437,88521392,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
139,Not at all a reason,default,"Yes, a minor reason",21,"Yes, a minor reason",1638547017.4896133,60529474,ADHD,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
140,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638281507.2852826,534210,NA,"Yes, a minor reason",Not at all a reason,NA,-,"Yes, a minor reason"
141,Not at all a reason,default,"Yes, a major reason",22,"Yes, a major reason",1642365105.392391,84631663,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
142,"Yes, a minor reason",default,"Yes, a minor reason",35,"Yes, a minor reason",1638346263.171423,96276765,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
143,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1642286046.0382266,16421609,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
144,Not at all a reason,default,"Yes, a major reason",25,"Yes, a minor reason",1638823151.7000146,14150361,Depression,"Yes, a major reason","Yes, a minor reason",NA,Female,"Yes, a major reason"
145,Not at all a reason,default,"Yes, a major reason",20,"Yes, a major reason",1642342515.109683,41314896,NA,"Yes, a major reason","Yes, a minor reason",magnesium,Female,"Yes, a major reason"
146,"Yes, a minor reason",default,"Yes, a minor reason",30,"Yes, a minor reason",1642322630.5408175,38567097,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
147,Not at all a reason,default,"Yes, a minor reason",25,Not at all a reason,1638297304.394586,37695548,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
148,Not at all a reason,default,"Yes, a minor reason",18,"Yes, a major reason",1638273821.1173897,61909752,Over all health,Not at all a reason,"Yes, a minor reason",NA,Male,"Yes, a major reason"
149,"Yes, a minor reason",default,"Yes, a major reason",24,"Yes, a major reason",1640142922.7052844,15200101,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
150,NA,default,Not at all a reason,17,"Yes, a major reason",1638265597.2841868,83921877,NA,"Yes, a major reason",Not at all a reason,NA,Female,"Yes, a major reason"
151,NA,default,"Yes, a major reason",27,"Yes, a minor reason",1638257912.2021532,89787593,NA,Not at all a reason,"Yes, a minor reason",NA,Female,"Yes, a major reason"
152,Not at all a reason,default,"Yes, a minor reason",0,"Yes, a minor reason",1638581790.0790324,65416032,NA,"Yes, a major reason","Yes, a minor reason",NA,-,"Yes, a major reason"
153,Not at all a reason,default,"Yes, a major reason",22,"Yes, a major reason",1639757902.360471,28806758,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
154,NA,default,"Yes, a major reason",20,"Yes, a major reason",1638240118.5949893,85776834,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
155,Not at all a reason,default,"Yes, a major reason",0,Not at all a reason,1639364139.0396805,76272211,NA,Not at all a reason,"Yes, a minor reason",NA,-,Not at all a reason
156,Not at all a reason,default,"Yes, a major reason",22,"Yes, a minor reason",1638276002.5367503,60194811,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,Not at all a reason
157,NA,default,"Yes, a major reason",32,"Yes, a major reason",1638254290.9098978,8427761,NA,"Yes, a minor reason","Yes, a major reason",Ashwagandha,Male,"Yes, a major reason"
158,"Yes, a minor reason",default,Not at all a reason,28,"Yes, a major reason",1642293759.3188646,56494552,NA,"Yes, a major reason","Yes, a major reason",NA,Male,Not at all a reason
159,NA,default,"Yes, a major reason",22,"Yes, a major reason",1638236636.492421,16775625,NA,"Yes, a major reason","Yes, a major reason",NA,Male,Not at all a reason
160,Not at all a reason,default,Not at all a reason,0,"Yes, a major reason",1638298795.04875,95583603,NA,Not at all a reason,Not at all a reason,Tonkat Ali,Male,"Yes, a minor reason"
161,Not at all a reason,default,"Yes, a major reason",25,"Yes, a major reason",1638326817.4484892,18598500,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
162,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1642344989.6145003,32219331,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
163,Not at all a reason,default,Not at all a reason,28,"Yes, a minor reason",1642300823.177032,26309204,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
164,Not at all a reason,default,Not at all a reason,25,"Yes, a major reason",1638438278.5660748,27203872,For more physical and mental energy.,"Yes, a major reason","Yes, a minor reason",NA,Female,"Yes, a major reason"
