,libido,pseudo,anxiety,age,cognition,time,userID,other,motivation,mood,permanent_favorite_noot,gender,focus,for_anxiety,for_focus,for_mood,for_cognition,for_motivation
34,,default,Not at all a reason,36.0,"Yes, a major reason",1638249455.0304704,54571140,,"Yes, a major reason",Not at all a reason,Phenylpiracetam,Male,"Yes, a major reason",,,,,
35,,default,Not at all a reason,0.0,Not at all a reason,1638198940.2944179,25219569,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
36,Not at all a reason,default,Not at all a reason,42.0,Not at all a reason,1642299316.5831318,32278622,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
37,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638309266.6227205,21507959,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
38,,default,,0.0,,1637692509.8249822,75990144,,,,,-,,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason
39,"Yes, a minor reason",default,"Yes, a minor reason",15.0,"Yes, a major reason",1638457398.0722427,99435405,,"Yes, a minor reason","Yes, a minor reason",,Male,Not at all a reason,,,,,
40,Not at all a reason,default,"Yes, a minor reason",27.0,"Yes, a minor reason",1638278039.326301,10419759,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
41,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638817653.8362346,16421609,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
42,"Yes, a minor reason",default,"Yes, a major reason",20.0,"Yes, a major reason",1638285664.4480488,25950006,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
43,Not at all a reason,default,"Yes, a major reason",28.0,"Yes, a minor reason",1642339495.190291,28478434,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
44,Not at all a reason,default,Not at all a reason,46.0,"Yes, a major reason",1642312024.6556964,7396315,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
45,Not at all a reason,default,"Yes, a minor reason",27.0,"Yes, a major reason",1639091802.2043643,99618479,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
46,"Yes, a minor reason",default,Not at all a reason,19.0,"Yes, a major reason",1640567241.399475,1253827,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
47,Not at all a reason,default,Not at all a reason,38.0,Not at all a reason,1642295382.5667453,231738,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
48,"Yes, a minor reason",default,Not at all a reason,31.0,"Yes, a major reason",1638308630.991394,70314299,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
49,Not at all a reason,default,"Yes, a minor reason",0.0,"Yes, a minor reason",1642337085.5482743,40258733,,"Yes, a major reason","Yes, a minor reason",,-,"Yes, a major reason",,,,,
50,Not at all a reason,default,Not at all a reason,18.0,Not at all a reason,1642370752.0042694,20697867,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
51,,default,"Yes, a major reason",22.0,Not at all a reason,1638254944.0471554,21788152,,Not at all a reason,"Yes, a minor reason",,Male,"Yes, a major reason",,,,,
52,Not at all a reason,default,"Yes, a major reason",32.0,"Yes, a minor reason",1638404167.7627559,59714489,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
53,Not at all a reason,default,"Yes, a minor reason",30.0,"Yes, a minor reason",1642337879.2574406,41308214,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
54,Not at all a reason,default,"Yes, a major reason",0.0,Not at all a reason,1638335261.2853365,77478151,,"Yes, a major reason","Yes, a minor reason",,-,"Yes, a major reason",,,,,
55,Not at all a reason,default,"Yes, a minor reason",25.0,"Yes, a major reason",1638315953.1079597,75136897,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
56,Not at all a reason,default,Not at all a reason,20.0,Not at all a reason,1642314944.4334018,49825993,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
57,Not at all a reason,default,Not at all a reason,30.0,"Yes, a minor reason",1642321935.386795,14908966,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
58,,default,"Yes, a minor reason",30.0,"Yes, a major reason",1638228019.6408298,18140812,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
59,Not at all a reason,default,"Yes, a major reason",19.0,"Yes, a major reason",1638375371.2308726,12768015,,"Yes, a minor reason","Yes, a minor reason","LSD (full dose), if SSRIs and SNRIs count, then mirtazapine and buspirone should also be there",Male,"Yes, a major reason",,,,,
60,Not at all a reason,default,"Yes, a major reason",23.0,"Yes, a major reason",1638275468.7938075,14448509,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
61,,default,"Yes, a minor reason",25.0,"Yes, a minor reason",1638236574.9738696,10359991,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
62,Not at all a reason,default,"Yes, a major reason",0.0,"Yes, a major reason",1638410263.8073635,94911347,,"Yes, a major reason","Yes, a major reason",,-,"Yes, a major reason",,,,,
63,,default,"Yes, a minor reason",21.0,"Yes, a major reason",1638241906.4852278,66505085,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
64,,default,"Yes, a minor reason",23.0,"Yes, a minor reason",1637850359.6355479,29470037,,"Yes, a minor reason","Yes, a minor reason",Test,Male,"Yes, a minor reason",,,,,
65,Not at all a reason,default,"Yes, a major reason",30.0,"Yes, a minor reason",1638410285.5233867,22321525,,Not at all a reason,"Yes, a major reason",,Male,"Yes, a minor reason",,,,,
66,Not at all a reason,default,Not at all a reason,-2.0,Not at all a reason,1642322129.7910628,26620692,,Not at all a reason,Not at all a reason,,Male,"Yes, a major reason",,,,,
67,Not at all a reason,default,"Yes, a minor reason",30.0,"Yes, a minor reason",1642344206.266927,67543432,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
68,,default,"Yes, a major reason",36.0,"Yes, a major reason",1638227669.6210701,43017166,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
69,,default,Not at all a reason,30.0,"Yes, a major reason",1638250599.5799286,28308697,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
70,,default,"Yes, a major reason",20.0,"Yes, a major reason",1638236824.2047071,94657191,,"Yes, a major reason","Yes, a major reason",,Male,Not at all a reason,,,,,
71,Not at all a reason,default,Not at all a reason,27.0,Not at all a reason,1642344351.948998,92088429,,"Yes, a minor reason","Yes, a minor reason",Cannabis,Male,Not at all a reason,,,,,
72,,default,"Yes, a minor reason",31.0,"Yes, a major reason",1638242519.6264179,43732045,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
73,Not at all a reason,default,Not at all a reason,27.0,Not at all a reason,1642431659.5623493,73876504,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
74,Not at all a reason,default,"Yes, a major reason",24.0,"Yes, a major reason",1638275276.2465184,38933411,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
75,Not at all a reason,default,"Yes, a minor reason",34.0,"Yes, a minor reason",1642339580.6418622,11805579,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
76,Not at all a reason,default,Not at all a reason,24.0,Not at all a reason,1639394765.367455,16421609,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
77,Not at all a reason,default,"Yes, a minor reason",25.0,"Yes, a major reason",1640096302.6453512,82047179,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
78,Not at all a reason,default,Not at all a reason,26.0,"Yes, a major reason",1639350850.5091136,25375994,,"Yes, a major reason",Not at all a reason,,Female,"Yes, a major reason",,,,,
79,,default,"Yes, a minor reason",52.0,"Yes, a major reason",1638225299.6392925,66103853,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
80,Not at all a reason,default,"Yes, a major reason",21.0,"Yes, a major reason",1638382043.2214937,97975569,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
81,Not at all a reason,default,"Yes, a major reason",27.0,"Yes, a minor reason",1638373696.9159675,5804326,Depression,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
82,Not at all a reason,default,Not at all a reason,27.0,"Yes, a major reason",1642326140.3987234,22281469,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
83,Not at all a reason,default,"Yes, a minor reason",42.0,"Yes, a major reason",1642314987.879244,28034480,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
84,"Yes, a minor reason",default,"Yes, a major reason",31.0,"Yes, a major reason",1638273864.5420156,86992186,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
85,Not at all a reason,default,"Yes, a minor reason",20.0,"Yes, a minor reason",1638301647.1552072,77046432,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
86,Not at all a reason,default,Not at all a reason,35.0,"Yes, a major reason",1642295617.4650059,19685073,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
87,Not at all a reason,default,Not at all a reason,29.0,"Yes, a major reason",1638420089.1432815,36930610,High performance career,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
88,,default,Not at all a reason,23.0,"Yes, a major reason",1638252109.6078885,32693918,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
89,"Yes, a major reason",default,"Yes, a major reason",37.0,"Yes, a major reason",1639985403.5470939,36948794,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
90,Not at all a reason,default,Not at all a reason,0.0,"Yes, a minor reason",1642310279.4276338,65468913,,"Yes, a major reason",Not at all a reason,,-,"Yes, a major reason",,,,,
91,,default,Not at all a reason,0.0,Not at all a reason,1637851812.3701508,54355146,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
92,Not at all a reason,default,Not at all a reason,22.0,"Yes, a major reason",1642320640.199693,27853433,im gay,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
93,,default,Not at all a reason,28.0,"Yes, a major reason",1638243344.5721538,96642686,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
94,Not at all a reason,default,Not at all a reason,24.0,"Yes, a minor reason",1642325802.0963218,15805825,fun,"Yes, a minor reason",Not at all a reason,vyvanse,Male,"Yes, a minor reason",,,,,
95,,default,Not at all a reason,23.0,Not at all a reason,1638223387.9201474,3133122,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
96,Not at all a reason,default,"Yes, a minor reason",21.0,"Yes, a major reason",1638300159.8084338,39411209,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
97,Not at all a reason,default,"Yes, a major reason",30.0,"Yes, a major reason",1638385889.5782685,8916596,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
98,Not at all a reason,default,"Yes, a major reason",27.0,"Yes, a major reason",1638292533.794665,26446128,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
99,Not at all a reason,default,"Yes, a major reason",26.0,"Yes, a major reason",1642323820.6381657,6897858,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
100,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638873977.9756467,16421609,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
101,Not at all a reason,default,"Yes, a minor reason",35.0,"Yes, a minor reason",1642316605.2255232,89446304,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
102,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638414578.7506053,10065616,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
103,Not at all a reason,default,Not at all a reason,38.0,"Yes, a major reason",1642307950.5498977,74331285,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
104,"Yes, a minor reason",default,Not at all a reason,32.0,"Yes, a minor reason",1638274621.9335194,88873597,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
105,"Yes, a major reason",default,"Yes, a minor reason",34.0,"Yes, a minor reason",1639092817.6048746,65416394,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
106,Not at all a reason,default,Not at all a reason,21.0,"Yes, a minor reason",1642376449.3969445,69530877,,"Yes, a major reason","Yes, a major reason","I like bupropion, helped me get the motivation to develop an exercise and meditation habit",Male,"Yes, a major reason",,,,,
107,Not at all a reason,default,Not at all a reason,18.0,Not at all a reason,1642453710.6750531,88418036,,Not at all a reason,Not at all a reason,,Female,Not at all a reason,,,,,
108,"Yes, a minor reason",default,"Yes, a major reason",29.0,"Yes, a major reason",1638282839.3799272,63963260,Energy,"Yes, a major reason","Yes, a major reason",,Other,"Yes, a major reason",,,,,
109,,default,"Yes, a minor reason",0.0,"Yes, a major reason",1638223479.3811584,69364865,,Not at all a reason,"Yes, a major reason",,-,"Yes, a major reason",,,,,
110,,default,"Yes, a major reason",38.0,"Yes, a minor reason",1638227979.666564,48319607,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
111,Not at all a reason,default,Not at all a reason,27.0,"Yes, a major reason",1642331901.0626986,82116527,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
112,Not at all a reason,default,Not at all a reason,30.0,"Yes, a major reason",1642304918.19937,30574952,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
113,Not at all a reason,default,Not at all a reason,25.0,"Yes, a major reason",1638459462.0072703,2068618,Limitless,"Yes, a major reason","Yes, a major reason",Yes,Other,"Yes, a major reason",,,,,
114,"Yes, a major reason",default,"Yes, a major reason",32.0,"Yes, a minor reason",1642309659.6321976,24628794,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
115,Not at all a reason,default,"Yes, a minor reason",25.0,"Yes, a major reason",1638291545.7656944,87490432,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
116,Not at all a reason,default,Not at all a reason,33.0,"Yes, a minor reason",1642299361.1649494,17119528,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
117,,default,"Yes, a minor reason",0.0,"Yes, a major reason",1638256486.7252965,80665667,,"Yes, a major reason","Yes, a major reason",,-,"Yes, a major reason",,,,,
118,Not at all a reason,default,"Yes, a major reason",21.0,"Yes, a minor reason",1638673025.2329175,12676454,,"Yes, a minor reason","Yes, a minor reason",,Male,Not at all a reason,,,,,
119,,default,"Yes, a minor reason",57.0,"Yes, a major reason",1638269679.8985996,95553956,,"Yes, a major reason","Yes, a minor reason",,Female,"Yes, a major reason",,,,,
120,"Yes, a minor reason",default,"Yes, a minor reason",32.0,"Yes, a major reason",1642373877.9395046,52000078,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
121,Not at all a reason,default,Not at all a reason,27.0,Not at all a reason,1642291361.7187762,29240727,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
122,,default,"Yes, a minor reason",21.0,"Yes, a major reason",1638250896.6847148,34749156,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
123,,default,Not at all a reason,30.0,"Yes, a major reason",1638241798.3685136,50890838,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
124,,default,,0.0,,1637687816.8806,91601450,,,,,-,,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason
125,"Yes, a minor reason",default,Not at all a reason,30.0,"Yes, a major reason",1642319781.5831187,21167959,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
126,"Yes, a minor reason",default,Not at all a reason,32.0,"Yes, a minor reason",1642306941.5585682,17488499,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
127,Not at all a reason,default,Not at all a reason,19.0,"Yes, a major reason",1638291346.0333176,58386162,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
128,Not at all a reason,default,"Yes, a minor reason",38.0,"Yes, a minor reason",1642289471.1168737,85407864,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
129,Not at all a reason,default,"Yes, a major reason",20.0,"Yes, a minor reason",1642339991.6138048,34925141,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a minor reason",,,,,
130,Not at all a reason,default,"Yes, a major reason",28.0,"Yes, a major reason",1638287057.8820817,12857099,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
131,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638425987.3811588,55949124,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
132,Not at all a reason,default,Not at all a reason,20.0,"Yes, a major reason",1638544358.1386297,52559119,,Not at all a reason,Not at all a reason,,Male,"Yes, a major reason",,,,,
133,Not at all a reason,default,"Yes, a major reason",36.0,"Yes, a minor reason",1642382323.130619,80126447,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
134,Not at all a reason,default,"Yes, a major reason",45.0,Not at all a reason,1642306707.8595521,16618941,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
135,Not at all a reason,default,Not at all a reason,23.0,Not at all a reason,1642294231.6653407,76090640,,Not at all a reason,"Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
136,"Yes, a minor reason",default,"Yes, a minor reason",24.0,"Yes, a minor reason",1642304976.1374576,33686984,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
137,Not at all a reason,default,"Yes, a minor reason",32.0,"Yes, a minor reason",1638286768.1961334,51825539,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
138,Not at all a reason,default,Not at all a reason,23.0,"Yes, a major reason",1642381879.5722435,88521392,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
139,Not at all a reason,default,"Yes, a minor reason",21.0,"Yes, a minor reason",1638547017.4896133,60529474,ADHD,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
140,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638281507.2852826,534210,,"Yes, a minor reason",Not at all a reason,,-,"Yes, a minor reason",,,,,
141,Not at all a reason,default,"Yes, a major reason",22.0,"Yes, a major reason",1642365105.392391,84631663,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
142,"Yes, a minor reason",default,"Yes, a minor reason",35.0,"Yes, a minor reason",1638346263.171423,96276765,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
143,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1642286046.0382266,16421609,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
144,Not at all a reason,default,"Yes, a major reason",25.0,"Yes, a minor reason",1638823151.7000146,14150361,Depression,"Yes, a major reason","Yes, a minor reason",,Female,"Yes, a major reason",,,,,
145,Not at all a reason,default,"Yes, a major reason",20.0,"Yes, a major reason",1642342515.109683,41314896,,"Yes, a major reason","Yes, a minor reason",magnesium,Female,"Yes, a major reason",,,,,
146,"Yes, a minor reason",default,"Yes, a minor reason",30.0,"Yes, a minor reason",1642322630.5408175,38567097,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
147,Not at all a reason,default,"Yes, a minor reason",25.0,Not at all a reason,1638297304.394586,37695548,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
148,Not at all a reason,default,"Yes, a minor reason",18.0,"Yes, a major reason",1638273821.1173897,61909752,Over all health,Not at all a reason,"Yes, a minor reason",,Male,"Yes, a major reason",,,,,
149,"Yes, a minor reason",default,"Yes, a major reason",24.0,"Yes, a major reason",1640142922.7052844,15200101,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
150,,default,Not at all a reason,17.0,"Yes, a major reason",1638265597.2841868,83921877,,"Yes, a major reason",Not at all a reason,,Female,"Yes, a major reason",,,,,
151,,default,"Yes, a major reason",27.0,"Yes, a minor reason",1638257912.2021532,89787593,,Not at all a reason,"Yes, a minor reason",,Female,"Yes, a major reason",,,,,
152,Not at all a reason,default,"Yes, a minor reason",0.0,"Yes, a minor reason",1638581790.0790324,65416032,,"Yes, a major reason","Yes, a minor reason",,-,"Yes, a major reason",,,,,
153,Not at all a reason,default,"Yes, a major reason",22.0,"Yes, a major reason",1639757902.360471,28806758,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
154,,default,"Yes, a major reason",20.0,"Yes, a major reason",1638240118.5949893,85776834,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
155,Not at all a reason,default,"Yes, a major reason",0.0,Not at all a reason,1639364139.0396805,76272211,,Not at all a reason,"Yes, a minor reason",,-,Not at all a reason,,,,,
156,Not at all a reason,default,"Yes, a major reason",22.0,"Yes, a minor reason",1638276002.5367503,60194811,,"Yes, a minor reason","Yes, a major reason",,Male,Not at all a reason,,,,,
157,,default,"Yes, a major reason",32.0,"Yes, a major reason",1638254290.9098978,8427761,,"Yes, a minor reason","Yes, a major reason",Ashwagandha,Male,"Yes, a major reason",,,,,
158,"Yes, a minor reason",default,Not at all a reason,28.0,"Yes, a major reason",1642293759.3188646,56494552,,"Yes, a major reason","Yes, a major reason",,Male,Not at all a reason,,,,,
159,,default,"Yes, a major reason",22.0,"Yes, a major reason",1638236636.492421,16775625,,"Yes, a major reason","Yes, a major reason",,Male,Not at all a reason,,,,,
